TS,V1,V2,V3,W1,W2,W3
1481729400,238.77255031042858,242.11284455790482,239.7183728899524,0.0,0.0,0.0
1481733000,240.75450960791667,244.477545420375,242.39842033391662,0.0,0.0,0.0
1481736600,237.01766041349998,240.2622811453214,237.85059084224997,0.0,0.0,0.0
1481740200,238.33777160640003,241.8627037049,239.0957885742,0.0,0.0,0.0
1481743800,239.90284937090908,243.31918126895454,239.514225353,0.0,0.0,0.0
1481747400,240.9187216923104,244.5259178423793,240.95864815548282,0.0,0.0,0.0
1481751000,242.04393386845837,245.64278856908334,242.06779416404163,0.0,0.0,0.0
1481754600,242.05441080733328,245.52172342933326,241.9609191894667,0.0,0.0,0.0
1481758200,239.1380238850333,242.19420725503326,239.6277338663666,0.0,0.0,0.0
1481761800,236.55231194752628,239.3225643759473,237.69313611473686,0.0,0.0,0.0
1481765400,234.35458374,234.442604065,233.88317108150002,0.0,0.0,0.0
1481769000,231.36056009920003,232.9227050782667,232.97653910320003,0.0,0.0,0.0
1481772600,229.25691941205883,233.12611299399998,231.57524557664703,0.0,0.0,0.0
1481776200,231.2257431030001,232.01498336795,232.39776000970002,0.0,0.0,0.0
1481779800,231.2594581016923,233.17358281069232,232.6658325194615,0.0,0.0,0.0
1481783400,234.07575988769563,236.46977698273915,234.25345180347824,0.0,0.0,0.0
1481787000,237.314502716125,239.34604835512505,238.051879883,0.0,0.0,0.0
1481790600,234.0484832764666,236.3473002115333,234.7740875245334,0.0,0.0,0.0
1481794200,233.5266485213125,236.34866428375,234.92228984837502,0.0,0.0,0.0
1481797800,234.26302422422225,236.05723571777781,234.03478834355556,0.0,0.0,0.0
1481801400,233.587799072,235.32246398900003,234.50677490200002,0.0,0.0,0.0
1481826600,237.8551008436666,242.22368876122226,238.94631788466663,0.0,0.0,0.0
1481830200,238.89523518880006,243.2856160481334,240.00052083326665,0.0,0.0,0.0
1481833800,240.79954201842858,244.38633837035718,241.15531921385718,0.0,0.0,0.0
1481837400,241.5200582650769,245.58432124207692,241.73203688407693,0.0,0.0,0.0
1481841000,242.1650014603929,245.6211280822501,242.49454280314288,0.0,0.0,0.0
1481844600,241.10789762217848,243.98731068203568,241.4555010115,0.0,0.0,0.0
1481848200,238.94093017580002,241.00277099606672,239.64721120200005,0.0,0.0,0.0
1481851800,235.3869419096666,236.8764432270417,235.93836975095832,0.0,0.0,0.0
1481855400,231.23910206765515,231.80167573072416,232.16100284965518,0.0,0.0,0.0
1481859000,228.74729919433338,230.72590919770371,229.85914837866667,0.0,0.0,0.0
1481862600,230.733622382647,231.6613940069705,231.36199996047063,0.0,0.0,0.0
1481866200,230.11598736310142,233.4610615605217,231.69555000636242,0.0,0.0,0.0
1481869800,232.18561395011466,233.79677788418755,233.19823535280221,0.0,0.0,0.0
1481873400,236.82949574783333,238.19515482583333,237.82367452,0.0,0.0,0.0
1481877000,234.43557357775,236.228979110625,234.69079589825,0.0,0.0,0.0
1481880600,233.85536702466663,236.0083796185,234.56241099049998,0.0,0.0,0.0
1482147000,235.96483939014286,238.30722263885716,236.96563284742854,0.0,0.0,0.0
1482150600,235.277404785,238.74724833166667,236.3849690753333,0.0,0.0,0.0
1482179400,239.13088226325002,242.9302253725,239.9178466795,0.0,0.0,0.0
1482323400,231.41732083838463,234.3110058124616,231.95583636930766,0.0,0.0,0.0
1482327000,234.0964693705166,236.34290466308326,234.88560256956677,0.0,0.0,0.0
1482330600,237.40144611237938,240.6993418726206,238.71194089693097,0.0,0.0,0.0
1482334200,240.77589662619357,243.42103084441936,242.13789367674198,0.0,0.0,0.0
1482337800,240.27306474953565,243.42689786639286,240.42527335035717,0.0,0.0,0.0
1482341400,241.80198415125,245.48065617876657,242.70580342615008,0.0,0.0,0.0
1482345000,242.1712601605097,246.16325857125486,243.14733348176463,0.0,0.0,0.0
1482348600,240.8722169456829,244.49076359446326,241.37611835756096,0.0,0.0,0.0
1482352200,241.7009643554545,245.13445517796364,241.7764099120909,0.0,0.0,0.0
1482355800,242.45639010837502,245.913928985625,242.90039852685712,0.0,0.0,0.0
1482359400,242.8620786445349,246.02534307439538,242.8656651696279,0.0,0.0,0.0
1482363000,239.75331657164512,242.72783587058063,240.5096686579355,0.0,0.0,0.0
1482366600,240.1051998138438,242.48030376431257,240.48263931271873,0.0,0.0,0.0
1482370200,235.17236267092,236.71653442388003,236.45895935056004,0.0,0.0,0.0
1482373800,233.13492662081632,233.9686098682857,234.06868634900002,0.0,0.0,0.0
1482377400,232.35151093589644,234.2150326433104,233.142667573069,0.0,0.0,0.0
1482381000,231.68266628095657,233.63907125721732,232.57075633165226,0.0,0.0,0.0
1482384600,231.91816558846668,234.9791748047333,232.80681457519998,0.0,0.0,0.0
1482388200,234.4632465362751,237.10846023557502,234.51523666375,0.0,0.0,0.0
1482391800,238.81099870463888,240.2625774806389,239.01342561508326,0.0,0.0,0.0
1482395400,235.0104387554857,236.97594866080001,236.3748513358286,0.0,0.0,0.0
1482399000,235.81386095408507,237.7360817117447,236.65153795610638,0.0,0.0,0.0
1482402600,234.27319981503845,237.57691662134624,236.01187251161545,0.0,0.0,0.0
1482406200,236.42475417562062,238.78918246551729,237.5863621152414,0.0,0.0,0.0
1482409800,232.58324279779998,235.71935485832,233.9221264648,0.0,0.0,0.0
1482413400,235.02185553470272,238.22195929451354,236.4696708886487,0.0,0.0,0.0
1482417000,239.5369488108637,241.91842547329543,239.42622514206826,0.0,0.0,0.0
1482420600,240.6425391887932,244.29675740218968,241.256122194431,0.0,0.0,0.0
1482424200,239.69166736869002,243.860564540817,240.68440246587326,0.0,0.0,0.0
1482427800,241.66365109957687,245.87962341313457,242.4625792869807,0.0,0.0,0.0
1482431400,239.6450525571369,244.00012018905477,240.52287480602746,0.0,0.0,0.0
1482435000,240.4590985698144,245.10109427660484,241.2399426121936,0.0,0.0,0.0
1482438600,241.8540616035469,246.30593812471886,241.8964970112032,0.0,0.0,0.0
1482442200,240.7678925561065,245.27615018746718,240.89988320770487,0.0,0.0,0.0
1482445800,239.4604336282608,243.91167383608703,239.2487560769783,0.0,0.0,0.0
1482449400,237.87877807615718,241.38620605468572,237.48686174668575,0.0,0.0,0.0
1482453000,236.07592683678433,239.30061310411762,236.89442384007842,0.0,0.0,0.0
1482456600,232.35970505933847,236.3537703294,233.50157799353852,0.0,0.0,0.0
1482460200,230.71762720743743,232.81593831381252,232.04596392309364,0.0,0.0,0.0
1482463800,229.1023128733824,230.46011935964694,230.75896386538224,0.0,0.0,0.0
1482467400,228.40011652167283,230.77907964536374,230.23910994105452,0.0,0.0,0.0
1482471000,232.9450744629,235.33632568362003,234.0423770141,0.0,0.0,0.0
1482474600,236.0776701896451,237.78008097983871,235.46782708935487,0.0,0.0,0.0
1482629400,238.6718377007222,240.82144080266661,238.9092958238334,0.0,0.0,0.0
1482633000,237.45314616538707,240.15585327151612,236.86524520377418,0.0,0.0,0.0
1482636600,234.84156581328568,237.00292314814288,235.1190338134286,0.0,0.0,0.0
1482701400,242.01825523362498,246.38588523862498,242.29597473150002,0.0,0.0,0.0
1482705000,241.94804731097142,245.76868286131432,242.00076686317144,0.0,0.0,0.0
1482708600,240.88610572145612,243.7473562140175,240.5423766019474,0.0,0.0,0.0
1482712200,239.30213255811876,242.10263216691516,239.69609509489837,0.0,0.0,0.0
1482715800,237.14307604342102,238.6214567485789,236.69680866447362,0.0,0.0,0.0
